kepid,koi_disposition
4275191,"CONFIRMED"
4476123,"CONFIRMED"
3351888,"CONFIRMED"
3453214,"CANDIDATE"
3554600,"FALSE POSITIVE"
3641726,"CONFIRMED"
3734868,"FALSE POSITIVE"
3832474,"CONFIRMED"
8395660,"CONFIRMED"
3832474,"CONFIRMED"
3832474,"CONFIRMED"
3836375,"FALSE POSITIVE"
3838486,"FALSE POSITIVE"
3935914,"CONFIRMED"
3940418,"CONFIRMED"
4049131,"CONFIRMED"
4139816,"CONFIRMED"
5287983,"FALSE POSITIVE"
5358241,"CONFIRMED"
10875245,"CONFIRMED"
5358241,"CONFIRMED"
5358241,"CONFIRMED"
5358624,"CONFIRMED"
4544670,"CANDIDATE"
4664847,"CONFIRMED"
4725681,"CONFIRMED"
4725681,"CONFIRMED"
4913852,"CONFIRMED"
4932348,"FALSE POSITIVE"
4936180,"CANDIDATE"
11913073,"FALSE POSITIVE"
10875245,"CONFIRMED"
5021899,"CONFIRMED"
5077629,"FALSE POSITIVE"
5115978,"CANDIDATE"
5164255,"CONFIRMED"
5252423,"CONFIRMED"
5252423,"CONFIRMED"
5272878,"CONFIRMED"
5283542,"FALSE POSITIVE"
5649215,"FALSE POSITIVE"
5651104,"CONFIRMED"
5792202,"CONFIRMED"
10875245,"CONFIRMED"
5792202,"CONFIRMED"
5370302,"FALSE POSITIVE"
5372966,"FALSE POSITIVE"
5376067,"FALSE POSITIVE"
5436502,"CONFIRMED"
5436502,"CONFIRMED"
5436502,"CONFIRMED"
5436502,"CONFIRMED"
10875245,"CONFIRMED"
5436502,"CONFIRMED"
5456651,"CONFIRMED"
5456651,"CONFIRMED"
5481416,"FALSE POSITIVE"
5531576,"CONFIRMED"
5531576,"CONFIRMED"
5534814,"FALSE POSITIVE"
6291653,"CONFIRMED"
6392727,"CONFIRMED"
6422070,"CONFIRMED"
6428700,"CONFIRMED"
6428700,"CONFIRMED"
5792202,"CONFIRMED"
5794379,"CONFIRMED"
5794379,"CONFIRMED"
5881688,"CONFIRMED"
6022556,"CONFIRMED"
6032497,"CONFIRMED"
6061119,"CONFIRMED"
6191521,"CONFIRMED"
6267425,"FALSE POSITIVE"
3531558,"CONFIRMED"
6276477,"CONFIRMED"
6863998,"CONFIRMED"
6867155,"CANDIDATE"
6948054,"CONFIRMED"
6948054,"CONFIRMED"
6948054,"CONFIRMED"
6435936,"CONFIRMED"
6522242,"CONFIRMED"
6526710,"CANDIDATE"
6587280,"CONFIRMED"
9471974,"CONFIRMED"
6587280,"CONFIRMED"
6599919,"CANDIDATE"
6675056,"FALSE POSITIVE"
6685526,"CONFIRMED"
6756669,"FALSE POSITIVE"
6784235,"CONFIRMED"
6849310,"CONFIRMED"
6849310,"CONFIRMED"
6849310,"CONFIRMED"
6862328,"CANDIDATE"
9471974,"CONFIRMED"
6862603,"FALSE POSITIVE"
7366258,"CONFIRMED"
7366258,"CONFIRMED"
7366258,"CONFIRMED"
7366258,"CONFIRMED"
7373451,"CONFIRMED"
6948054,"CONFIRMED"
6949607,"CONFIRMED"
6949607,"CONFIRMED"
7031517,"CANDIDATE"
11869052,"FALSE POSITIVE"
7109675,"CONFIRMED"
7109675,"CONFIRMED"
7118364,"CONFIRMED"
7134976,"CONFIRMED"
7134976,"CONFIRMED"
7135852,"CONFIRMED"
7270230,"FALSE POSITIVE"
7287995,"CONFIRMED"
7287995,"CONFIRMED"
7287995,"CONFIRMED"
3247396,"FALSE POSITIVE"
7303253,"CONFIRMED"
5094751,"CONFIRMED"
7678434,"CONFIRMED"
7678434,"CONFIRMED"
7685981,"CONFIRMED"
7708215,"FALSE POSITIVE"
7373451,"CONFIRMED"
7377033,"FALSE POSITIVE"
7380537,"CANDIDATE"
7434875,"CONFIRMED"
8349582,"CONFIRMED"
7434875,"CONFIRMED"
7434875,"CONFIRMED"
7455287,"CONFIRMED"
7455287,"CONFIRMED"
7455287,"CONFIRMED"
7458762,"CONFIRMED"
7552344,"FALSE POSITIVE"
757450,"CONFIRMED"
7585481,"CONFIRMED"
7663691,"CONFIRMED"
5812701,"CONFIRMED"
8013419,"CANDIDATE"
8018547,"CANDIDATE"
8039892,"CONFIRMED"
8150320,"CONFIRMED"
8150320,"CONFIRMED"
11086270,"CONFIRMED"
7767559,"FALSE POSITIVE"
7825899,"CONFIRMED"
7825899,"CONFIRMED"
7849854,"CONFIRMED"
7870390,"CONFIRMED"
7870390,"CONFIRMED"
5094751,"CONFIRMED"
7870390,"CONFIRMED"
7907423,"CONFIRMED"
7907423,"CONFIRMED"
7907423,"CONFIRMED"
7938496,"CONFIRMED"
8490993,"CONFIRMED"
8490993,"CONFIRMED"
8505670,"CONFIRMED"
8505670,"CONFIRMED"
8544996,"CONFIRMED"
8552202,"CANDIDATE"
8150320,"CONFIRMED"
8150320,"CONFIRMED"
8150320,"CONFIRMED"
8180063,"FALSE POSITIVE"
8226994,"CONFIRMED"
8226994,"CONFIRMED"
8226994,"CONFIRMED"
8247638,"CONFIRMED"
8247638,"CONFIRMED"
8247638,"CONFIRMED"
11086270,"CONFIRMED"
8247638,"CONFIRMED"
8255887,"CONFIRMED"
8256049,"FALSE POSITIVE"
8414716,"CONFIRMED"
9140402,"CANDIDATE"
9141746,"CONFIRMED"
9159275,"FALSE POSITIVE"
9166862,"CONFIRMED"
9166870,"FALSE POSITIVE"
11449844,"CONFIRMED"
8605074,"FALSE POSITIVE"
8628973,"CONFIRMED"
8655354,"FALSE POSITIVE"
8672910,"CONFIRMED"
8686150,"FALSE POSITIVE"
8689031,"CONFIRMED"
8689373,"CONFIRMED"
8689373,"CONFIRMED"
8689373,"CONFIRMED"
8826878,"CONFIRMED"
5897826,"FALSE POSITIVE"
8883593,"CONFIRMED"
8951215,"CANDIDATE"
9016295,"FALSE POSITIVE"
9077124,"CONFIRMED"
9097120,"FALSE POSITIVE"
9466668,"CONFIRMED"
9466668,"CONFIRMED"
9466668,"CONFIRMED"
9466668,"CONFIRMED"
9479273,"CONFIRMED"
8359498,"CONFIRMED"
9171801,"FALSE POSITIVE"
9334289,"CONFIRMED"
9334289,"CONFIRMED"
9334289,"CONFIRMED"
9347899,"CONFIRMED"
9347899,"CONFIRMED"
9347899,"CONFIRMED"
9347899,"CANDIDATE"
9388479,"CONFIRMED"
9388479,"CONFIRMED"
11359879,"CONFIRMED"
9406990,"CONFIRMED"
9415172,"CONFIRMED"
9415172,"CONFIRMED"
9415172,"CONFIRMED"
9904059,"FALSE POSITIVE"
3231341,"CONFIRMED"
3231341,"CONFIRMED"
3231341,"CONFIRMED"
2860866,"CANDIDATE"
7626506,"CONFIRMED"
10460629,"CANDIDATE"
10319385,"CANDIDATE"
10482160,"CONFIRMED"
10485069,"FALSE POSITIVE"
3233043,"FALSE POSITIVE"
6579806,"FALSE POSITIVE"
3560301,"FALSE POSITIVE"
4044005,"FALSE POSITIVE"
11502218,"CANDIDATE"
11180361,"CANDIDATE"
5802246,"FALSE POSITIVE"
6066403,"FALSE POSITIVE"
6209637,"FALSE POSITIVE"
5988031,"FALSE POSITIVE"
7684873,"FALSE POSITIVE"
8559644,"CONFIRMED"
2851100,"FALSE POSITIVE"
3130300,"FALSE POSITIVE"
3240158,"CONFIRMED"
3240158,"CONFIRMED"
3228959,"FALSE POSITIVE"
3218908,"CONFIRMED"
10341913,"FALSE POSITIVE"
10480921,"FALSE POSITIVE"
10287723,"CANDIDATE"
10350571,"CONFIRMED"
10350571,"CONFIRMED"
3749365,"CONFIRMED"
11013201,"CONFIRMED"
11673674,"FALSE POSITIVE"
11013201,"CANDIDATE"
9414417,"CANDIDATE"
3632418,"CONFIRMED"
3441784,"FALSE POSITIVE"
5820218,"FALSE POSITIVE"
5876368,"FALSE POSITIVE"
5809890,"CONFIRMED"
5809890,"CONFIRMED"
6131236,"CONFIRMED"
9048161,"FALSE POSITIVE"
3218908,"CONFIRMED"
3218908,"CONFIRMED"
3235672,"FALSE POSITIVE"
2837111,"CONFIRMED"
3120276,"FALSE POSITIVE"
2307199,"CANDIDATE"
3547091,"FALSE POSITIVE"
3869825,"FALSE POSITIVE"
3655332,"FALSE POSITIVE"
4042026,"FALSE POSITIVE"
3344419,"FALSE POSITIVE"
11192141,"FALSE POSITIVE"
11494130,"FALSE POSITIVE"
5648449,"FALSE POSITIVE"
12167361,"FALSE POSITIVE"
8607720,"FALSE POSITIVE"
1433962,"FALSE POSITIVE"
9032900,"CONFIRMED"
5956342,"CONFIRMED"
5956342,"CONFIRMED"
5956342,"CONFIRMED"
5956342,"CONFIRMED"
5956656,"CONFIRMED"
3109930,"CONFIRMED"
2854914,"CONFIRMED"
2854914,"CONFIRMED"
3337425,"FALSE POSITIVE"
3116412,"CONFIRMED"
3865567,"FALSE POSITIVE"
3544689,"FALSE POSITIVE"
4037164,"FALSE POSITIVE"
3443790,"FALSE POSITIVE"
3966912,"FALSE POSITIVE"
8394721,"CONFIRMED"
11607193,"FALSE POSITIVE"
1161345,"CONFIRMED"
10227501,"FALSE POSITIVE"
2854698,"CONFIRMED"
2854698,"CONFIRMED"
8559644,"CONFIRMED"
6032981,"FALSE POSITIVE"
5866099,"FALSE POSITIVE"
5964985,"FALSE POSITIVE"
6066416,"FALSE POSITIVE"
1996679,"FALSE POSITIVE"
2849805,"CONFIRMED"
3114811,"CONFIRMED"
2853446,"CANDIDATE"
3003992,"FALSE POSITIVE"
3942446,"CANDIDATE"
3554031,"CONFIRMED"
3554031,"CANDIDATE"
3554031,"CONFIRMED"
8394721,"CONFIRMED"
7295235,"CONFIRMED"
2302548,"CONFIRMED"
2302548,"CONFIRMED"
10743597,"FALSE POSITIVE"
10743597,"FALSE POSITIVE"
9818381,"CONFIRMED"
6124941,"FALSE POSITIVE"
6060203,"CONFIRMED"
5880320,"CONFIRMED"
5880320,"CONFIRMED"
5880320,"CONFIRMED"
3003992,"FALSE POSITIVE"
6307537,"FALSE POSITIVE"
6359798,"FALSE POSITIVE"
6311681,"FALSE POSITIVE"
6365321,"FALSE POSITIVE"
6301035,"FALSE POSITIVE"
3859079,"CONFIRMED"
3557493,"FALSE POSITIVE"
4061149,"CONFIRMED"
3444588,"CONFIRMED"
8394721,"CONFIRMED"
3962243,"CONFIRMED"
10743597,"CANDIDATE"
10015516,"FALSE POSITIVE"
10154388,"CONFIRMED"
1432789,"CONFIRMED"
1718189,"CONFIRMED"
5880320,"CONFIRMED"
5130369,"FALSE POSITIVE"
6037187,"CONFIRMED"
6147122,"FALSE POSITIVE"
8257407,"FALSE POSITIVE"
8218274,"FALSE POSITIVE"
3964562,"FALSE POSITIVE"
5735762,"CONFIRMED"
6292162,"FALSE POSITIVE"
6307521,"FALSE POSITIVE"
6359320,"CONFIRMED"
3848972,"FALSE POSITIVE"
3860441,"FALSE POSITIVE"
3765771,"FALSE POSITIVE"
3557341,"FALSE POSITIVE"
3859628,"CONFIRMED"
3644071,"CANDIDATE"
1718189,"CONFIRMED"
1431122,"CANDIDATE"
3858949,"FALSE POSITIVE"
3858824,"FALSE POSITIVE"
2157247,"FALSE POSITIVE"
7601633,"FALSE POSITIVE"
8242681,"FALSE POSITIVE"
8260218,"CANDIDATE"
8246781,"FALSE POSITIVE"
8264070,"FALSE POSITIVE"
8222813,"CONFIRMED"
6359320,"CONFIRMED"
6359320,"CANDIDATE"
6362874,"CONFIRMED"
6272413,"CONFIRMED"
8279765,"FALSE POSITIVE"
8330548,"FALSE POSITIVE"
3348082,"FALSE POSITIVE"
3853673,"FALSE POSITIVE"
3447722,"CONFIRMED"
3447722,"CONFIRMED"
3447722,"CONFIRMED"
3447722,"CANDIDATE"
1432214,"FALSE POSITIVE"
2165002,"CONFIRMED"
2165002,"CONFIRMED"
2441728,"FALSE POSITIVE"
1871056,"CONFIRMED"
8222813,"CONFIRMED"
12105051,"CANDIDATE"
8240904,"CONFIRMED"
8240904,"CONFIRMED"
8240904,"CANDIDATE"
8374494,"FALSE POSITIVE"
5735762,"CONFIRMED"
8414907,"FALSE POSITIVE"
8414907,"FALSE POSITIVE"
8397446,"FALSE POSITIVE"
8386035,"FALSE POSITIVE"
3962243,"CONFIRMED"
3962243,"CONFIRMED"
3438507,"CONFIRMED"
3869014,"CONFIRMED"
3756801,"CANDIDATE"
1871056,"CONFIRMED"
1865042,"CONFIRMED"
2438502,"FALSE POSITIVE"
2309585,"FALSE POSITIVE"
5780460,"CONFIRMED"
8244190,"FALSE POSITIVE"
8229696,"CONFIRMED"
8262210,"FALSE POSITIVE"
10272640,"CONFIRMED"
10232123,"FALSE POSITIVE"
10223616,"FALSE POSITIVE"
8415745,"FALSE POSITIVE"
8378634,"FALSE POSITIVE"
8397675,"FALSE POSITIVE"
8346392,"CONFIRMED"
8288947,"CONFIRMED"
8312852,"FALSE POSITIVE"
9480189,"CONFIRMED"
11974540,"CONFIRMED"
9480189,"CONFIRMED"
9480189,"CONFIRMED"
9512687,"CONFIRMED"
8644288,"CONFIRMED"
5738346,"FALSE POSITIVE"
1725016,"CONFIRMED"
1722276,"FALSE POSITIVE"
892772,"FALSE POSITIVE"
1027438,"FALSE POSITIVE"
10268907,"FALSE POSITIVE"
5446285,"CONFIRMED"
10166274,"CONFIRMED"
10166274,"CONFIRMED"
10166274,"CONFIRMED"
10153827,"FALSE POSITIVE"
5735762,"CONFIRMED"
8302450,"FALSE POSITIVE"
8313667,"CANDIDATE"
8351704,"CONFIRMED"
8299955,"FALSE POSITIVE"
9513865,"CONFIRMED"
9595686,"FALSE POSITIVE"
9605514,"CONFIRMED"
9605514,"CONFIRMED"
9661877,"FALSE POSITIVE"
5728283,"FALSE POSITIVE"
8127639,"FALSE POSITIVE"
6047498,"FALSE POSITIVE"
8125580,"CONFIRMED"
8158127,"CONFIRMED"
10158990,"FALSE POSITIVE"
10149023,"CANDIDATE"
10141900,"CONFIRMED"
10141900,"CONFIRMED"
10141900,"CONFIRMED"
8410727,"CONFIRMED"
8410727,"CONFIRMED"
8349405,"FALSE POSITIVE"
8278371,"CONFIRMED"
8280511,"CONFIRMED"
8280511,"CONFIRMED"
9710326,"CONFIRMED"
9761882,"CONFIRMED"
5297298,"FALSE POSITIVE"
9766437,"CONFIRMED"
9772531,"CANDIDATE"
9775938,"CONFIRMED"
8644288,"CONFIRMED"
8158127,"CONFIRMED"
8176653,"FALSE POSITIVE"
8174625,"CONFIRMED"
8183911,"FALSE POSITIVE"
8179973,"FALSE POSITIVE"
10157458,"CONFIRMED"
4649305,"FALSE POSITIVE"
10148521,"FALSE POSITIVE"
10118816,"CONFIRMED"
10122255,"CONFIRMED"
3124412,"FALSE POSITIVE"
3835670,"CONFIRMED"
10287248,"FALSE POSITIVE"
10351767,"FALSE POSITIVE"
10295951,"CANDIDATE"
10342041,"FALSE POSITIVE"
10514770,"FALSE POSITIVE"
9775938,"CONFIRMED"
9787239,"CONFIRMED"
9787239,"CONFIRMED"
9787239,"CONFIRMED"
9787239,"CONFIRMED"
9787239,"CONFIRMED"
2309719,"FALSE POSITIVE"
2558363,"FALSE POSITIVE"
2716853,"CONFIRMED"
2445154,"FALSE POSITIVE"
2715135,"CONFIRMED"
8644288,"CONFIRMED"
3113266,"FALSE POSITIVE"
3247268,"CONFIRMED"
3247268,"CONFIRMED"
3232859,"FALSE POSITIVE"
3098184,"FALSE POSITIVE"
2720309,"FALSE POSITIVE"
10342065,"FALSE POSITIVE"
10352945,"FALSE POSITIVE"
10354039,"CONFIRMED"
10330115,"CONFIRMED"
10426656,"CONFIRMED"
9820483,"CONFIRMED"
9941662,"CONFIRMED"
7778437,"CONFIRMED"
9823457,"CONFIRMED"
9823457,"CONFIRMED"
2574201,"FALSE POSITIVE"
2166206,"FALSE POSITIVE"
2164169,"CONFIRMED"
2574338,"CONFIRMED"
2584163,"CONFIRMED"
4180280,"CONFIRMED"
3239636,"FALSE POSITIVE"
2721030,"CONFIRMED"
3329204,"CANDIDATE"
3230491,"CANDIDATE"
3340070,"FALSE POSITIVE"
7626506,"CONFIRMED"
10426656,"CONFIRMED"
10426656,"CONFIRMED"
10528068,"CONFIRMED"
10468940,"CONFIRMED"
9825625,"CONFIRMED"
9875711,"CONFIRMED"
7661409,"FALSE POSITIVE"
1026957,"CONFIRMED"
10002261,"FALSE POSITIVE"
8176650,"FALSE POSITIVE"
2162635,"CANDIDATE"
5899544,"FALSE POSITIVE"
5963222,"FALSE POSITIVE"
5982353,"FALSE POSITIVE"
6205468,"FALSE POSITIVE"
8506766,"FALSE POSITIVE"
3240706,"FALSE POSITIVE"
2853093,"CONFIRMED"
3228824,"FALSE POSITIVE"
3245969,"CONFIRMED"
3231341,"CONFIRMED"
10468940,"CONFIRMED"
10341831,"FALSE POSITIVE"
10337517,"CONFIRMED"
10337517,"CONFIRMED"
10351231,"CONFIRMED"
10485179,"FALSE POSITIVE"
8561063,"CONFIRMED"
8561063,"CONFIRMED"
8892910,"FALSE POSITIVE"
8561063,"CONFIRMED"
10657664,"FALSE POSITIVE"
3337351,"FALSE POSITIVE"
6153201,"FALSE POSITIVE"
5802486,"FALSE POSITIVE"
5817553,"FALSE POSITIVE"
5982368,"FALSE POSITIVE"
5816811,"FALSE POSITIVE"
5816165,"FALSE POSITIVE"
7102227,"CONFIRMED"
7102227,"CONFIRMED"
7102227,"CONFIRMED"
6960913,"CONFIRMED"
6837146,"CANDIDATE"
11122894,"CONFIRMED"
11122894,"CONFIRMED"
11129738,"CONFIRMED"
11401182,"CONFIRMED"
11030711,"CONFIRMED"
11512246,"CONFIRMED"
6607286,"CANDIDATE"
6607286,"CANDIDATE"
6690082,"CONFIRMED"
6690082,"CONFIRMED"
6448890,"CONFIRMED"
6448890,"CONFIRMED"
10730034,"CONFIRMED"
10730034,"CONFIRMED"
10858691,"CONFIRMED"
10858691,"CONFIRMED"
10858691,"CONFIRMED"
8107380,"CONFIRMED"
6936909,"CONFIRMED"
6936909,"CONFIRMED"
6962977,"CONFIRMED"
6962977,"CONFIRMED"
11176127,"CONFIRMED"
11176127,"CONFIRMED"
11176127,"CONFIRMED"
11075279,"CANDIDATE"
11014932,"CONFIRMED"
6607447,"CANDIDATE"
6677256,"FALSE POSITIVE"
8030148,"CONFIRMED"
6692833,"FALSE POSITIVE"
6693640,"CONFIRMED"
10858691,"CONFIRMED"
10973814,"CONFIRMED"
10973814,"CONFIRMED"
6541920,"CONFIRMED"
10586208,"CONFIRMED"
6962977,"CONFIRMED"
6962977,"CONFIRMED"
6962977,"CONFIRMED"
7174351,"FALSE POSITIVE"
6932987,"CONFIRMED"
11014932,"CONFIRMED"
11014932,"CONFIRMED"
11014932,"CONFIRMED"
11288505,"CONFIRMED"
11493431,"CONFIRMED"
6441738,"CANDIDATE"
8801343,"FALSE POSITIVE"
8488878,"FALSE POSITIVE"
8560285,"FALSE POSITIVE"
8620565,"FALSE POSITIVE"
8616873,"CANDIDATE"
10854768,"CONFIRMED"
10964440,"CONFIRMED"
10713616,"CONFIRMED"
10963242,"CONFIRMED"
10785538,"FALSE POSITIVE"
6932987,"CONFIRMED"
8191672,"CONFIRMED"
6851425,"CONFIRMED"
6934291,"CONFIRMED"
7357531,"FALSE POSITIVE"
6185711,"FALSE POSITIVE"
11037335,"CONFIRMED"
11037335,"CONFIRMED"
11389771,"CONFIRMED"
11389771,"CONFIRMED"
8737796,"FALSE POSITIVE"
8462258,"FALSE POSITIVE"
10925104,"CONFIRMED"
8454250,"FALSE POSITIVE"
8494263,"CANDIDATE"
8848271,"FALSE POSITIVE"
10585852,"CONFIRMED"
10928043,"CANDIDATE"
10794087,"CONFIRMED"
10794087,"CANDIDATE"
6541920,"CONFIRMED"
4275739,"FALSE POSITIVE"
7287415,"CONFIRMED"
6924203,"CONFIRMED"
6878167,"FALSE POSITIVE"
6880531,"FALSE POSITIVE"
6863839,"FALSE POSITIVE"
7296086,"FALSE POSITIVE"
11389771,"CONFIRMED"
11599038,"CONFIRMED"
11193263,"CONFIRMED"
11027624,"CONFIRMED"
11032227,"CONFIRMED"
8751933,"CONFIRMED"
8630788,"CONFIRMED"
8630788,"CONFIRMED"
8630788,"CONFIRMED"
8823426,"FALSE POSITIVE"
4070376,"FALSE POSITIVE"
4078157,"FALSE POSITIVE"
4164994,"CONFIRMED"
4480676,"FALSE POSITIVE"
4079535,"FALSE POSITIVE"
6766634,"CONFIRMED"
6774826,"FALSE POSITIVE"
5652237,"FALSE POSITIVE"
7211469,"CONFIRMED"
7375795,"FALSE POSITIVE"
7255336,"FALSE POSITIVE"
7831264,"CONFIRMED"
7802136,"FALSE POSITIVE"
7532973,"CONFIRMED"
9632895,"FALSE POSITIVE"
7449844,"FALSE POSITIVE"
8766222,"FALSE POSITIVE"
8678594,"CONFIRMED"
10925104,"CONFIRMED"
8678594,"CONFIRMED"
8703884,"FALSE POSITIVE"
8560840,"FALSE POSITIVE"
4076098,"CONFIRMED"
4551328,"FALSE POSITIVE"
4282872,"CONFIRMED"
4639868,"FALSE POSITIVE"
10555375,"FALSE POSITIVE"
4372768,"FALSE POSITIVE"
7375795,"FALSE POSITIVE"
7211221,"CONFIRMED"
7025526,"FALSE POSITIVE"
9451127,"FALSE POSITIVE"
9446824,"FALSE POSITIVE"
11356260,"CONFIRMED"
11044770,"FALSE POSITIVE"
11600889,"CONFIRMED"
11197126,"FALSE POSITIVE"
11043167,"CONFIRMED"
8612847,"CONFIRMED"
8552583,"FALSE POSITIVE"
8547140,"CONFIRMED"
8519253,"FALSE POSITIVE"
8813698,"CANDIDATE"
8757910,"FALSE POSITIVE"
4074736,"CANDIDATE"
4072526,"CONFIRMED"
4150539,"FALSE POSITIVE"
4274548,"CANDIDATE"
4455231,"CONFIRMED"
8953257,"FALSE POSITIVE"
8971432,"FALSE POSITIVE"
9278553,"FALSE POSITIVE"
9527915,"CONFIRMED"
9143254,"FALSE POSITIVE"
8949247,"FALSE POSITIVE"
11336883,"CONFIRMED"
11336883,"CANDIDATE"
11336883,"CANDIDATE"
12506351,"FALSE POSITIVE"
7622486,"FALSE POSITIVE"
7622486,"FALSE POSITIVE"
9705459,"FALSE POSITIVE"
8564587,"CONFIRMED"
10925104,"CONFIRMED"
8564587,"CONFIRMED"
8631160,"CANDIDATE"
8552498,"FALSE POSITIVE"
8806072,"CONFIRMED"
4455231,"CONFIRMED"
4455231,"CONFIRMED"
4285107,"FALSE POSITIVE"
4150624,"FALSE POSITIVE"
8972058,"CONFIRMED"
9346253,"FALSE POSITIVE"
9002237,"FALSE POSITIVE"
9288786,"FALSE POSITIVE"
8958035,"FALSE POSITIVE"
9040849,"FALSE POSITIVE"
9202151,"CANDIDATE"
7842610,"FALSE POSITIVE"
7830637,"FALSE POSITIVE"
4760746,"CANDIDATE"
7832356,"CONFIRMED"
9643874,"CONFIRMED"
8800954,"CONFIRMED"
8583696,"CONFIRMED"
8804283,"CONFIRMED"
8804283,"CONFIRMED"
8552565,"FALSE POSITIVE"
4155328,"CONFIRMED"
4077526,"CONFIRMED"
4077526,"CONFIRMED"
4077526,"CONFIRMED"
4077526,"CONFIRMED"
8937021,"FALSE POSITIVE"
8935810,"CONFIRMED"
2441495,"CONFIRMED"
9455556,"CONFIRMED"
9455556,"CONFIRMED"
9427402,"CANDIDATE"
3732821,"CONFIRMED"
3962440,"CANDIDATE"
3534076,"CANDIDATE"
3962357,"CONFIRMED"
9110357,"FALSE POSITIVE"
8394721,"CONFIRMED"
8609450,"CONFIRMED"
6541920,"CONFIRMED"
8609450,"CONFIRMED"
8609450,"CONFIRMED"
8609450,"CONFIRMED"
4243911,"CONFIRMED"
4466677,"CONFIRMED"
4466677,"CANDIDATE"
4466677,"CANDIDATE"
4135665,"CONFIRMED"
9269281,"CONFIRMED"
9100484,"CANDIDATE"
9157908,"FALSE POSITIVE"
9030447,"FALSE POSITIVE"
9034103,"CONFIRMED"
9214942,"CONFIRMED"
3858704,"FALSE POSITIVE"
3749134,"CONFIRMED"
3556220,"FALSE POSITIVE"
3660924,"CONFIRMED"
3939150,"CONFIRMED"
8628758,"CONFIRMED"
8628758,"CONFIRMED"
8509361,"FALSE POSITIVE"
8742590,"CONFIRMED"
8822366,"CONFIRMED"
8972058,"CONFIRMED"
4386059,"FALSE POSITIVE"
4650674,"CONFIRMED"
4275721,"CONFIRMED"
4275721,"CONFIRMED"
8874090,"CONFIRMED"
11666881,"CONFIRMED"
9264949,"CONFIRMED"
9271752,"CONFIRMED"
9007866,"FALSE POSITIVE"
9150827,"CONFIRMED"
3939150,"CONFIRMED"
3839488,"CONFIRMED"
3542588,"FALSE POSITIVE"
3442055,"CONFIRMED"
3440861,"FALSE POSITIVE"
12252424,"CONFIRMED"
8700771,"CONFIRMED"
10960993,"FALSE POSITIVE"
6541920,"CONFIRMED"
10599397,"FALSE POSITIVE"
10879208,"FALSE POSITIVE"
10843203,"FALSE POSITIVE"
4570931,"FALSE POSITIVE"
4136466,"CONFIRMED"
7284688,"FALSE POSITIVE"
7199774,"FALSE POSITIVE"
7037540,"FALSE POSITIVE"
6866228,"FALSE POSITIVE"
9391208,"CONFIRMED"
9391506,"CONFIRMED"
8950853,"CONFIRMED"
9006449,"CONFIRMED"
9006449,"CONFIRMED"
9006449,"CONFIRMED"
4043190,"CONFIRMED"
